"","date","open","high","low","close","volume","adj.close","symbol","sig.action","action","action.type","balance","trade","trade.value","holds","market.value","net.gain","total.cash.flow","avg.CPS","base.ROI","ROI"
"1",2008-01-02,52.81,53.1,52.35,52.9,192400,47.876,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,0,0
"2",2008-01-03,53.4,53.5,52.98,53.02,431500,47.985,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,0.002,0
"3",2008-01-04,52.43,52.5,51.5,51.55,347200,46.655,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.026,0
"4",2008-01-07,51.91,51.91,50.64,51.22,320900,46.356,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.032,0
"5",2008-01-08,51.02,52,50.41,50.41,419100,45.623,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.047,0
"6",2008-01-09,50.58,51.17,50.02,51.13,541200,46.274,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.033,0
"7",2008-01-10,50.45,51.18,50.19,51.08,177800,46.229,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.034,0
"8",2008-01-11,50.83,51.23,50.5,50.61,128300,45.804,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.043,0
"9",2008-01-14,51.32,52.09,51.31,51.96,247600,47.026,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.018,0
"10",2008-01-15,51.05,51.2,50.14,50.24,423500,45.469,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.05,0
"11",2008-01-16,49.95,49.97,48.1,48.65,643700,44.03,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.08,0
"12",2008-01-17,48.56,49.41,46.35,46.5,254600,42.084,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.121,0
"13",2008-01-18,46.58,47.51,44.61,46.9,1302300,42.446,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.113,0
"14",2008-01-22,44.37,46.07,44.37,45.61,294300,41.279,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.138,0
"15",2008-01-23,44.58,45.14,42.31,45.14,418900,40.853,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.147,0
"16",2008-01-24,45.91,46.68,45.52,46.65,209600,42.22,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.118,0
"17",2008-01-25,47.2,47.44,45.8,46.12,155000,41.74,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.128,0
"18",2008-01-28,45.75,46.98,45.36,46.95,447200,42.491,"XOP",NA,NA,NA,20000,0,0,0,0,0,0,0,-0.112,0
